brave	1.0000	0.0002	2.4971
captain	1.0000	0.0002	2.4971
thank	1.0000	0.0002	2.4971
protest	1.0000	0.0002	2.4971
us	4.0000	0.0008	2.8950
absolute	2.0000	0.0004	2.6732
blank	2.0000	0.0004	2.6732
charming	1.0000	0.0002	2.4971
shortly	1.0000	0.0002	2.4971
CAPTAIN	3.0000	0.0006	2.7981
trusted	1.0000	0.0002	2.4971
notion	2.0000	0.0004	2.6732
crossing	1.0000	0.0002	2.4971
ocean	2.0000	0.0004	2.6732
tingle	1.0000	0.0002	2.4971
bell	4.0000	0.0008	2.8950
thoughtful	1.0000	0.0002	2.4971
grave	2.0000	0.0004	2.6732
orders	1.0000	0.0002	2.4971
gave	3.0000	0.0006	2.7981
enough	1.0000	0.0002	2.4971
bewilder	1.0000	0.0002	2.4971
steer	1.0000	0.0002	2.4971
starboard	1.0000	0.0002	2.4971
her	1.0000	0.0002	2.4971
larboard	1.0000	0.0002	2.4971
earth	1.0000	0.0002	2.4971
do	5.0000	0.0010	2.9742
remarked	5.0000	0.0010	2.9742
frequently	3.0000	0.0006	2.7981
happens	1.0000	0.0002	2.4971
tropical	1.0000	0.0002	2.4971
climes	1.0000	0.0002	2.4971
vessel	1.0000	0.0002	2.4971
snarked	1.0000	0.0002	2.4971
principal	2.0000	0.0004	2.6732
failing	1.0000	0.0002	2.4971
occurred	3.0000	0.0006	2.7981
perplexed	1.0000	0.0002	2.4971
distressed	2.0000	0.0004	2.6732
SAID	3.0000	0.0006	2.7981
hoped	1.0000	0.0002	2.4971
wind	1.0000	0.0002	2.4971
blew	1.0000	0.0002	2.4971
due	2.0000	0.0004	2.6732
EAST	1.0000	0.0002	2.4971
travel	1.0000	0.0002	2.4971
WEST	1.0000	0.0002	2.4971
danger	2.0000	0.0004	2.6732
past	2.0000	0.0004	2.6732
portmanteaus	1.0000	0.0002	2.4971
bags	1.0000	0.0002	2.4971
first	1.0000	0.0002	2.4971
sight	1.0000	0.0002	2.4971
consisted	1.0000	0.0002	2.4971
chasms	1.0000	0.0002	2.4971
crags	1.0000	0.0002	2.4971
perceived	1.0000	0.0002	2.4971
low	1.0000	0.0002	2.4971
repeated	1.0000	0.0002	2.4971
musical	1.0000	0.0002	2.4971
jokes	1.0000	0.0002	2.4971
season	1.0000	0.0002	2.4971
